NODE,LABEL,VALUE
46081,1,-0.00052296
46086,1,-0.00048282
46083,1,-0.00047826
46226,1,-0.00043892
45931,1,-0.00043665
46092,1,-0.0003934
46090,1,-0.00039337
46231,1,-0.00035261
46023,1,-0.00035075
46024,1,-0.00030856
45923,1,-0.00031058
46022,1,-0.00026881
45950,1,-0.00026937
46103,1,-0.00022946
45937,1,-0.00023145
45942,1,-0.00019554
46042,3,-0.00636834
45936,3,-0.00349231
46104,3,-0.00061648
46030,3,0.00226044
46102,3,0.00524886
46093,3,0.00813059
46097,3,0.01102954
46094,3,0.01103069
46233,3,0.0138357
46000,3,0.01662176
46001,3,0.01933811
45999,3,0.02202455
46376,3,0.02205882
46017,3,0.02464533
46019,3,0.02727645
46016,3,0.02727363
46224,3,0.02980558
45912,3,0.03229803
46011,3,0.03473321
46006,3,0.03472963
46212,3,0.03727894
45994,3,0.03967395
45998,3,0.03971891
45977,3,0.04201671
45982,3,0.04446953
45979,3,0.04446953
46696,3,0.04681894
46337,3,0.04912313
46429,3,0.04917355
45963,3,0.05148056
45965,3,0.05384319
45962,3,0.05383768
46071,3,0.05620527
46069,3,0.05841331
46197,3,0.05846709
45973,3,0.06077638
45976,3,0.06314805
45714,3,0.02484743
45625,3,0.02452997
45627,3,0.02398706
45624,3,0.02398947
46320,3,0.02447099
46319,3,0.02413881
46719,3,0.02320805
46312,3,0.02288868
46314,3,0.02267347
45858,3,0.0225693
45863,3,0.0225693
45860,3,0.02235413
46293,3,0.02224992
46291,3,0.02224768
46302,3,0.02224992
45865,3,0.02214123
45867,3,0.02214346
45864,3,0.02203478
46323,3,0.022037
45870,3,0.02192834
45875,3,0.02193054
45872,3,0.02193054
46194,3,0.02193275
46192,3,0.02193054
46575,3,0.02182629
45886,3,0.02182409
45888,3,0.02171193
45885,3,0.02160383
46077,3,0.02172857
45879,3,0.02172857
45884,3,0.02162423
45881,3,0.02151554
46366,3,0.02151988
46364,3,0.02151771
46653,3,0.02141119
46594,3,0.02141334
46595,3,0.02130681
46593,3,0.02120241
46600,3,0.02109374
46078,3,0.02109587
46080,3,0.02098932
45918,3,0.02088488
46204,3,0.02088488
46081,3,0.02077623
46086,3,0.02067385
46083,3,0.02056521
46226,3,0.02056728
45931,3,0.02045866
46092,3,0.02035415
46090,3,0.02024758
46231,3,0.02024962
46023,3,0.02014102
46024,3,0.02003647
45923,3,0.02003647
46022,3,0.01992989
45950,3,0.01982331
46103,3,0.01982331
45937,3,0.01982331
45942,3,0.01983728
47103,1,-0.00164878
46988,1,-0.00090454
47073,1,-0.00015512
47072,1,0.000569
47170,1,0.00128295
47160,1,0.00198816
47164,1,0.00261706
47161,1,0.00261821
47321,1,0.00318544
47056,1,0.00382556
47057,1,0.00431497
47055,1,0.00491719
47417,1,0.00476639
