ELEMENT,Surface,Cpv
822,P,-15.66203904
823,P,-16.25204736
824,P,-17.00296704
825,P,-15.07203072
826,P,-16.25204736
827,P,-12.71199744
828,P,-12.71199744
829,P,-12.76563456
830,P,-13.62382848
831,P,-13.24836864
832,P,-13.62382848
833,P,-13.62382848
834,P,-12.71199744
835,P,-14.64293376
836,P,-15.66203904
837,P,-15.66203904
838,P,-24.78034944
839,P,-12.71199744
840,P,-12.71199744
841,P,-18.88026624
842,P,-18.88026624
843,P,-21.40121088
844,P,-12.8729088
845,P,-12.71199744
846,P,-12.71199744
847,P,-13.62382848
848,P,-13.08745728
849,P,-16.25204736
850,P,-20.06028288
851,P,-21.40121088
852,P,-12.71199744
853,P,-12.71199744
854,P,-12.81927168
855,P,-13.89201408
856,P,-13.89201408
857,P,-32.02136064
858,P,-24.78034944
859,P,-13.40928
860,P,-12.71199744
861,P,-32.02136064
862,P,-26.87219712
863,P,-13.62382848
864,P,-13.40928
865,P,-13.08745728
866,P,-13.08745728
867,P,-13.62382848
868,P,-13.62382848
869,P,-13.08745728
870,P,-13.24836864
871,P,-13.08745728
872,P,-13.24836864
873,P,-12.71199744
874,P,-12.76563456
875,P,-12.71199744
876,P,-12.71199744
877,P,-18.88026624
878,P,-12.76563456
879,P,-15.66203904
880,P,-15.66203904
881,P,-12.71199744
882,P,-12.71199744
883,P,-12.71199744
884,P,-12.71199744
885,P,-12.71199744
886,P,-12.71199744
887,P,-12.98018304
888,P,-13.08745728
889,P,-12.81927168
890,P,-17.00296704
891,P,-16.25204736
892,P,-12.8729088
893,P,-12.76563456
894,P,-32.02136064
895,P,-12.76563456
896,P,-12.71199744
897,P,-13.24836864
898,P,-13.24836864
899,P,-24.78034944
900,P,-21.40121088
901,P,-12.71199744
902,P,-12.71199744
903,P,-22.95668736
904,P,-24.78034944
905,P,-29.28586752
906,P,-29.28586752
907,P,-13.24836864
908,P,-13.24836864
909,P,-12.71199744
910,P,-12.81927168
911,P,-12.98018304
912,P,-12.98018304
913,P,-53.63712
914,P,-46.23519744
915,P,-49.82888448
916,P,-15.07203072
917,P,-12.71199744
918,P,-12.71199744
919,P,-12.71199744
920,P,-12.71199744
921,P,-15.07203072
922,P,-15.66203904
923,P,-12.98018304
924,P,-13.24836864
925,P,-12.71199744
926,P,-12.71199744
927,P,-12.71199744
928,P,-12.8729088
929,P,-12.76563456
930,P,-35.1323136
931,P,-12.71199744
932,P,-18.88026624
933,P,-17.86116096
934,P,-17.86116096
935,P,-12.71199744
936,P,-12.71199744
937,P,-12.71199744
938,P,-12.71199744
939,P,-15.07203072
940,P,-32.02136064
941,P,-24.78034944
942,P,-32.02136064
943,P,-42.31968768
944,P,-29.28586752
945,P,-35.1323136
946,P,-24.78034944
947,P,-18.88026624
948,P,-17.86116096
949,P,-12.71199744
950,P,-12.8729088
951,P,-12.98018304
952,P,-13.08745728
953,P,-12.98018304
954,P,-20.06028288
955,P,-13.08745728
956,P,-13.40928
957,P,-20.06028288
958,P,-17.86116096
959,P,-20.06028288
960,P,-17.86116096
961,P,-17.00296704
962,P,-12.71199744
963,P,-12.71199744
964,P,-12.71199744
965,P,-12.71199744
966,P,-12.71199744
967,P,-12.71199744
968,P,-12.71199744
969,P,-12.71199744
970,P,-12.81927168
971,P,-12.8729088
972,P,-12.8729088
973,P,-13.24836864
974,P,-13.89201408
975,P,-12.76563456
976,P,-12.8729088
977,P,-12.81927168
978,P,-12.81927168
979,P,-13.89201408
980,P,-14.26747392
981,P,-12.71199744
982,P,-12.71199744
983,P,-49.82888448
984,P,-12.71199744
985,P,-12.71199744
986,P,-13.62382848
987,P,-13.62382848
988,P,-13.62382848
989,P,-16.25204736
990,P,-15.66203904
991,P,-15.07203072
992,P,-15.07203072
993,P,-17.00296704
994,P,-16.25204736
995,P,-15.66203904
996,P,-17.00296704
997,P,-17.00296704
998,P,-52.67165184
999,P,-12.71199744
1000,P,-12.71199744
1001,P,-12.71199744
1002,P,-12.81927168
1003,P,-12.81927168
1004,P,-14.26747392
1005,P,-14.64293376
1006,P,-14.64293376
1007,P,-49.82888448
1008,P,-53.63712
1009,P,-52.67165184
1010,P,-49.82888448
1011,P,-42.31968768
1012,P,-53.63712
1013,P,-52.67165184
1014,P,-46.23519744
1015,P,-46.23519744
1016,P,-52.67165184
1017,P,-52.67165184
1018,P,-42.31968768
1019,P,-52.67165184
1020,P,-53.63712
1021,P,-46.23519744
1022,P,-52.67165184
1023,P,-46.23519744
1024,P,-52.67165184
1025,P,-49.82888448
1026,P,-53.63712
1027,P,-49.82888448
1028,P,-49.82888448
1029,P,-49.82888448
1030,P,-42.31968768
1031,P,-46.23519744
1032,P,-52.67165184
1033,P,-52.67165184
1034,P,-52.67165184
1035,P,-53.63712
1036,P,-53.63712
1037,P,-53.63712
1038,P,-53.63712
1039,P,-52.67165184
1040,P,-42.31968768
1041,P,-49.82888448
1042,P,-42.31968768
1043,P,-35.1323136
1044,P,-12.8729088
1045,P,-14.64293376
1046,P,-29.28586752
1047,P,-17.86116096
1048,P,-12.71199744
1049,P,-12.71199744
1050,P,-22.95668736
1051,P,-18.88026624
1052,P,-20.06028288
1053,P,-12.71199744
1054,P,-12.71199744
1055,P,-12.71199744
1056,P,-12.71199744
1057,P,-12.71199744
1058,P,-12.71199744
1059,P,-12.71199744
1060,P,-12.71199744
1061,P,-12.71199744
1062,P,-12.71199744
1063,P,-12.71199744
1064,P,-12.71199744
1065,P,-12.71199744
1066,P,-12.71199744
1067,P,-12.71199744
1068,P,-12.71199744
1069,P,-12.71199744
1070,P,-12.71199744
1071,P,-12.71199744
1072,P,-12.71199744
1073,P,-12.71199744
1074,P,-14.64293376
1075,P,-13.89201408
1076,P,-13.89201408
1077,P,-16.25204736
1078,P,-17.00296704
1079,P,-18.88026624
1080,P,-16.25204736
1081,P,-15.66203904
1082,P,-17.00296704
1083,P,-17.00296704
1084,P,-46.23519744
1085,P,-12.71199744
1086,P,-14.64293376
1087,P,-46.23519744
1088,P,-12.71199744
1089,P,-12.8729088
1090,P,-12.81927168
1091,P,-12.71199744
1092,P,-12.71199744
1093,P,-20.06028288
1094,P,-12.81927168
1095,P,-12.71199744
1096,P,-12.76563456
1097,P,-52.67165184
1098,P,-49.82888448
1099,P,-52.67165184
1100,P,-52.67165184
1101,P,-52.67165184
1102,P,-49.82888448
1103,P,-53.63712
1104,P,-52.67165184
1105,P,-52.67165184
1106,P,-49.82888448
1107,P,-52.67165184
1108,P,-16.25204736
1109,P,-12.76563456
1110,P,-12.71199744
1111,P,-12.76563456
1112,P,-12.71199744
1113,P,-12.71199744
1114,P,-12.76563456
1115,P,-12.98018304
